individual_id,id,latitude,longitude,individual,individual patronym,inscription,start date,end date,Roles
404,Ephesos,37.94,27.3399,[Ag]athangelos,,D050,-137,-1,mystes
77,Ephesos,37.94,27.3399,Artemidoros ,Artemidorou,D005,-150,-145,proxenos
27,Ephesos,37.94,27.3399,Hegesias ,Metr[o- -],D004,1,200,theoros
746,Ephesos,37.94,27.3399,Sositheos,Herakleidou,D024,-100,-100,
25,Ephesos,37.94,27.3399,Chairephon ,Ly[- - -],D004,1,200,proxenos
16,Ephesos,37.94,27.3399,Theophis ,Nikostratou,D002,-200,-1,proxenos
9,Ephesos,37.94,27.3399,Hermagoras,,D001,-200,-101,proxenos
7,Ephesos,37.94,27.3399,Herakleitos,,D001,-200,-101,proxenos
77,Ephesos,37.94,27.3399,Artemidoros ,Artemidorou,D005,-150,-145,theoros
28,Ephesos,37.94,27.3399,Menekrates ,[- -],D004,1,200,proxenos
747,Ephesos,37.94,27.3399,Artemidoros,Xeniou,D024,-100,-100,
25,Ephesos,37.94,27.3399,Chairephon ,Ly[- - -],D004,1,200,theoros
16,Ephesos,37.94,27.3399,Theophis ,Nikostratou,D002,-200,-1,theoros
9,Ephesos,37.94,27.3399,Hermagoras,,D001,-200,-101,theoros
7,Ephesos,37.94,27.3399,Herakleitos,,D001,-200,-101,theoros
78,Ephesos,37.94,27.3399,[A]pollodoros,Nikesandrou,D005,-150,-145,proxenos
28,Ephesos,37.94,27.3399,Menekrates ,[- -],D004,1,200,theoros
190,Epidamnos,41.3125,19.4452,Ateirio…,Chre…,D032,,,mystes
187,Epidamnos,41.3125,19.4452,Philon,AST…,D032,,,mystes
188,Epidamnos,41.3125,19.4452,Lusion,E…,D032,,,mystes
189,Epidamnos,41.3125,19.4452,Sosi[la]os,Parmenio[nos],D032,,,mystes
135,Eresos,39.1359,25.9341,Archelaos,Aristonaktos,D010,-200,-1,proxenos
135,Eresos,39.1359,25.9341,Archelaos,Aristonaktos,D010,-200,-1,theoros
130,Eresos,39.1359,25.9341,Agesimenes,Bakchou,D009,-200,-101,proxenos
136,Eresos,39.1359,25.9341,Agelaos,Eumedontos,D010,-200,-1,proxenos
130,Eresos,39.1359,25.9341,Agesimenes,Bakchou,D009,-200,-101,theoros
136,Eresos,39.1359,25.9341,Agelaos,Eumedontos,D010,-200,-1,theoros
131,Eresos,39.1359,25.9341,Protion,Naionos,D009,-200,-101,proxenos
131,Eresos,39.1359,25.9341,Protion,Naionos,D009,-200,-101,theoros
756,Erythrai,38.3821,26.478,Arista[goras], ,D025,,,
757,Erythrai,38.3821,26.478,Euthyda[mas],  ,D025,,,
755,Erythrai,38.3821,26.478,Diago[ras], ,D025,,,
93,Halikarnassos,37.0253,27.412,Antipatros,Phanippou,D008,-200,-101,proxenos
11,Halikarnassos,37.0253,27.412,Menekrates,Menekratou tou Metrod|[orou],D002,-200,-1,proxenos
13,Halikarnassos,37.0253,27.412,Menodotos ,Apolloniou,D002,-200,-1,theoros
117,Halikarnassos,37.0253,27.412,Hierokles,Hierokleious tou Menestratou,D009,-200,-101,proxenos
93,Halikarnassos,37.0253,27.412,Antipatros,Phanippou,D008,-200,-101,theoros
114,Halikarnassos,37.0253,27.412,Hierokles,Demetriou,D009,-200,-101,theoros
11,Halikarnassos,37.0253,27.412,Menekrates,Menekratou tou Metrod|[orou],D002,-200,-1,theoros
158,Halikarnassos,37.0253,27.412,[--]nias,Melantou,D013,-200,-1,proxenos
117,Halikarnassos,37.0253,27.412,Hierokles,Hierokleious tou Menestratou,D009,-200,-101,theoros
94,Halikarnassos,37.0253,27.412,Hierok[l]es,Menoitou,D008,-200,-101,proxenos
115,Halikarnassos,37.0253,27.412,Hierokles,Menestratou,D009,-200,-101,proxenos
114,Halikarnassos,37.0253,27.412,Hierokles,Demetriou,D009,-200,-101,proxenos
158,Halikarnassos,37.0253,27.412,[--]nias,Melantou,D013,-200,-1,theoros
12,Halikarnassos,37.0253,27.412,Phyles ,Hermiou,D002,-200,-1,proxenos
94,Halikarnassos,37.0253,27.412,Hierok[l]es,Menoitou,D008,-200,-101,theoros
115,Halikarnassos,37.0253,27.412,Hierokles,Menestratou,D009,-200,-101,theoros
159,Halikarnassos,37.0253,27.412,Moschos,Moschou,D013,-200,-1,proxenos
12,Halikarnassos,37.0253,27.412,Phyles ,Hermiou,D002,-200,-1,theoros
95,Halikarnassos,37.0253,27.412,Antipatros,Antipatrou,D008,-200,-101,proxenos
116,Halikarnassos,37.0253,27.412,Hierokles,Menestratou tou Perikleious,D009,-200,-101,proxenos
159,Halikarnassos,37.0253,27.412,Moschos,Moschou,D013,-200,-1,theoros
13,Halikarnassos,37.0253,27.412,Menodotos ,Apolloniou,D002,-200,-1,proxenos
95,Halikarnassos,37.0253,27.412,Antipatros,Antipatrou,D008,-200,-101,theoros
116,Halikarnassos,37.0253,27.412,Hierokles,Menestratou tou Perikleious,D009,-200,-101,theoros
197,Herakleia apo Strymonos,41.2731,23.2993,M. Horphidios,Agesilaos,D036,101,300,mystes
66,Iasos,37.2808,27.5844,Billaros,Eumenous,D005,-150,-145,theoros
67,Iasos,37.2808,27.5844,Antileon,Menekratou,D005,-150,-145,proxenos
